钢卷号,流向,切断时间,必做标记,计划类型,额定轧制厚度,额定轧制宽度,额定出炉温度,额定终轧温度,额定卷取温度,计划号
500000006130,,,205,2,230,850,1220,850,610,
500000006131,,,205,2,230,850,1220,850,610,
500000006132,,,205,2,230,850,1220,850,610,
500000006133,,,205,2,230,850,1220,850,610,
500000006904,,,205,2,230,850,1200,870,640,
500000006905,,,205,2,230,850,1200,870,640,
500000006906,,,205,2,230,850,1200,870,640,
500000006907,,,205,2,230,850,1200,870,640,
500000006908,,,205,2,230,850,1200,870,640,
500000005879,,,205,2,230,850,1200,870,580,
500000005880,,,205,2,230,850,1200,870,580,
500000006038,,,205,2,230,850,1200,870,580,
500000006039,,,205,2,230,850,1200,870,580,
500000006040,,,205,2,230,850,1200,870,580,
500000006041,,,205,2,230,850,1200,870,580,
500000006042,,,205,2,230,850,1200,870,580,
500000006043,,,205,2,230,850,1200,870,580,
500000006044,,,205,2,230,850,1200,870,580,
500000006045,,,205,2,230,850,1200,870,580,
